Nro.,SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
1,AMAZONAS,"CHACHAPOYAS: (PROVINCIA CHACHAPOYAS: CHACHAPOYAS, ASUNCION, BALSAS, CHETO, CHILIQUIN, CHUQUIBAMBA, GRANADA, HUANCAS, LA JALCA, LEIMEBAMBA, LEVANTO, MAGDALENA, MARISCAL CASTILLA, MOLINOPAMPA, MONTEVIDEO, OLLEROS, QUINJALCA, SAN FRANCISCO DE DAGUAS, SAN ISIDRO DE MAINO, SOLOCO, SONCHE / PROVINCIA LUYA: LAMUD, COCABAMBA, COLCAMAR, CONILA, INGUILPATA, LONGUITA, LONYA CHICO, LUYA, LUYA VIEJO, MARIA, OCUMAL, PISUQUIA, PROVIDENCIA, SAN CRISTOBAL, SAN FRANCISCO DEL YESO, SAN JERONIMO, SAN JUAN DE LOPECANCHA, SANTA CATALINA, SANTO TOMAS, TINGO, TRITA )",120,156
2,AMAZONAS,"BAGUA: ( PROVINCIA BAGUA: BAGUA, ARAMANGO, COPALLIN, EL PARCO, IMAZA, LA PECA )",80,104
3,AMAZONAS,"BONGARA: (PROVINCIA BONGARA: JAZAN, JUMBILLA, CHISQUILLA, CHURUJA, COROSHA, CUISPES, FLORIDA, RECTA, SAN CARLOS, SHIPASBAMBA, VALERA, YAMBRASBAMBA )",32,42
4,AMAZONAS,"CONDORCANQUI: (PROVINCIA CONDORCANQUI: NIEVA, EL CENEPA, RIO SANTIAGO )",80,104
5,AMAZONAS,"RODRIGUEZ DE MENDOZA: ( PROVINCIA RODRIGUEZ DE MENDOZA: SAN NICOLAS, CHIRIMOTO, COCHAMAL, HUAMBO, LIMABAMBA, LONGAR, MARISCAL BENAVIDES, MILPUC, OMIA, SANTA ROSA, TOTORA )",40,52
6,AMAZONAS,"UTCUBAMBA: (PROVINCIA UTCUBAMBA: BAGUA GRANDE, CAJARURO, CUMBA, EL MILAGRO, JAMALCA, LONYA GRANDE, YAMON / PROVINCIA LUYA: CAMPORREDONDO, OCALLI)",138,180
7,ANCASH - CHIMBOTE,"SANTA 1: (PROVINCIA SANTA: CHIMBOTE, MACATE )",140,182
8,ANCASH - CHIMBOTE,"CASMA: (PROVINCIA CASMA: CASMA, BUENA VISTA ALTA, COMANDANTE NOEL, YAUTAN / PROVINCIA YUNGAY: QUILLO)",76,99
9,ANCASH - CHIMBOTE,"HUARMEY: (PROVINCIA HUARMEY: HUARMEY, COCHAPETI, CULEBRAS, HUAYAN, MALVAS / PROVINCIA HUARAZ: HUANCHAY)",42,55
10,ANCASH - CHIMBOTE,"PALLASCA: (PROVINCIA PALLASCA: CABANA, BOLOGNESI, CONCHUCOS, HUACASCHUQUE, HUANDOVAL, LACABAMBA, LLAPO, PALLASCA, PAMPAS, SANTA ROSA, TAUCA )",34,44
