SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
AMAZONAS,CHACHAPOYAS,120,156
AMAZONAS,BAGUA,80,104
AMAZONAS,BONGARA,32,42
AMAZONAS,CONDORCANQUI,80,104
AMAZONAS,RODRIGUEZ DE MENDOZA,40,52
AMAZONAS,UTCUBAMBA,138,180
ANCASH - CHIMBOTE,SANTA 1,140,182
ANCASH - CHIMBOTE,CASMA,76,99
ANCASH - CHIMBOTE,HUARMEY,42,55
ANCASH - CHIMBOTE,PALLASCA,34,44
ANCASH - CHIMBOTE,SANTA 2,30,39
ANCASH - CHIMBOTE,SANTA 3,176,229
ANCASH - HUARAZ,HUARAZ,160,208
ANCASH - HUARAZ,ANTONIO RAYMONDI,30,39
ANCASH - HUARAZ,BOLOGNESI,49,64
ANCASH - HUARAZ,CARHUAZ,102,133
ANCASH - HUARAZ,HUARI,70,91
ANCASH - HUARAZ,HUAYLAS,70,91
ANCASH - HUARAZ,MARISCAL LUZURIAGA,34,44
ANCASH - HUARAZ,RECUAY,36,47
ANCASH - HUARAZ,SIHUAS,90,117
ANCASH - HUARAZ,YUNGAY,60,78
APURIMAC,ABANCAY,128,167
APURIMAC,ANDAHUAYLAS,176,229
APURIMAC,AYMARAES,80,104
APURIMAC,CHINCHEROS,72,94
APURIMAC,COTABAMBAS,94,122
APURIMAC,GRAU,28,37
AREQUIPA,AREQUIPA 1,56,73
AREQUIPA,AREQUIPA 2,64,84
AREQUIPA,AREQUIPA 3,100,130
AREQUIPA,AREQUIPA 4,98,128
AREQUIPA,AREQUIPA 5,72,94
AREQUIPA,AREQUIPA 6,84,110
AREQUIPA,AREQUIPA 7,76,99
AREQUIPA,AREQUIPA 8,84,110
AREQUIPA,AREQUIPA 9,96,125
AREQUIPA,AREQUIPA 10,74,96
AREQUIPA,AREQUIPA 11,172,224
AREQUIPA,CAMANA,76,99
AREQUIPA,CARAVELI,60,78
AREQUIPA,CASTILLA,64,84
AREQUIPA,CAYLLOMA,152,198
AREQUIPA,ISLAY,58,76
AREQUIPA,LA UNION,28,37
AYACUCHO,HUAMANGA 1,140,182
AYACUCHO,CANGALLO,84,110
AYACUCHO,HUAMANGA 2,92,120
